record_num,id,precursor,decision,reason,source,title,authors,year,journal,doi,pmid,link,pdf_file,fulltext_note,nma_status,nma_exclusion_reason
70,31685720,NMN,UNCERTAIN,no RCT signal; no placebo; no human markers,abstract screen,Effect of oral administration of nicotinamide mononucleotide on clinical  parameters and nicotinamide metabolite levels in healthy Japanese men.,Irie J; Inagaki E; Fujita M...,2020,Endocrine journal,10.1507/endocrj.EJ19-0313,31685720,https://doi.org/10.1507/endocrj.EJ19-0313,67_EJ19-0313.pdf,"Irie 2020 - NMN RCT in healthy men, reports insulin/glucose/lipids/BMI/BP/NAD+",EXCLUDED_NMA,Not extracted for qualitative or quantitative synthesis; open-label single-arm design concerns
835,CN-02253340,NMN,UNCERTAIN,no metabolic outcome,screening,To Evaluate the Efficacy and Safety of NMN as an Anti-ageing Supplement in Middle Aged and Older (40-65 Years) Adults,"NCT04823260,",2021,https://clinicaltrials.gov/show/NCT04823260,,02253340,https://clinicaltrials.gov/study/NCT04823260,fragi-03-851698.pdf,"Huang 2022 Uthever - NMN multicentre DB-PC RCT, reports insulin/glucose/HOMA/lipids/BP/NAD+",INCLUDED_NMA,
48,35927255,NMN,UNCERTAIN,no RCT signal; no placebo; no human markers,abstract screen,Chronic nicotinamide mononucleotide supplementation elevates blood nicotinamide  adenine dinucleotide levels and alters muscle function in healthy older men.,Igarashi M; Nakagawa-Nagahama Y; Miura M...,2022,npj aging,10.1038/s41514-022-00084-z,35927255,https://doi.org/10.1038/s41514-022-00084-z,s41514-022-00084-z.pdf,"Igarashi 2022 - NMN RCT in older men, reports insulin/glucose/HOMA/HbA1c/lipids/body comp/BP/NAD+",INCLUDED_NMA,
943,WOS:000769347500001,NMN,UNCERTAIN,no metabolic outcome,abstract screen,"Effect of 12-Week Intake of Nicotinamide Mononucleotide on Sleep Quality, Fatigue, and Physical Performance in Older Japanese Adults: A Randomized, Double-Blind Placebo-Controlled Study","Kim, M; Seol, J; Sato, T...",2022,NUTRIENTS,10.3390/nu14040755,000769347500001,https://doi.org/10.3390/nu14040755,nutrients-14-00755.pdf,"Kim 2022 - NMN 12-week DB-PC RCT, reports insulin/lipids/BMI/BP/NAD+/fat mass",EXCLUDED_NMA,Metabolic data only in supplementary tables; primary focus sleep/fatigue not cardiometabolic
27,38789831,NMN,UNCERTAIN,no metabolic outcome,abstract screen,"Ingestion of beta-nicotinamide mononucleotide increased blood NAD levels, maintained  walking speed, and improved sleep quality in older adults in a double-blind randomized, placebo-controlled study.",Morifuji M; Higashi S; Ebihara S...,2024,GeroScience,10.1007/s11357-024-01204-1,38789831,https://doi.org/10.1007/s11357-024-01204-1,s11357-024-01204-1.pdf,"Morifuji 2024 - NMN DB-PC RCT in older adults, reports glucose/HbA1c/cholesterol/body comp/BP/NAD",INCLUDED_NMA,
936,WOS:001141896900001,NMN,UNCERTAIN,no RCT signal; no placebo; no human markers,title/abstract,"Safety and efficacy of long-term nicotinamide mononucleotide supplementation on metabolism, sleep, and nicotinamide adenine dinucleotide biosynthesis in healthy, middle-aged Japanese men","Yamaguchi, S; Irie, J; Mitsuishi, M...",2024,ENDOCRINE JOURNAL,10.1507/endocrj.EJ23-0431,001141896900001,https://doi.org/10.1507/endocrj.EJ23-0431,71_EJ23-0431.pdf,"Yamaguchi 2024 - NMN on metabolism/sleep/NAD+ in healthy men, reports insulin/glucose/HOMA/lipids/body comp/BP",EXCLUDED_NMA,Linked publication to Irie 2020 cohort; metabolic data not independently extractable
71,31412242,NR,UNCERTAIN,no RCT signal; no placebo; no human markers,screening,Nicotinamide Riboside Augments the Aged Human Skeletal Muscle NAD(+) Metabolome  and Induces Transcriptomic and Anti-inflammatory Signatures.,Elhassan YS; Kluckova K; Fletcher RS...,2019,Cell reports,10.1016/j.celrep.2019.07.043,31412242,https://doi.org/10.1016/j.celrep.2019.07.043,1-s2.0-S2211124719309404-main.pdf,"Elhassan 2019 - NR RCT in older adults, reports glucose/fasting blood/BMI/NAD+",INCLUDED_NMA,
72,31390002,NR,UNCERTAIN,no RCT signal; no placebo; no human markers,abstract screen,Effects of Nicotinamide Riboside on Endocrine Pancreatic Function and Incretin  Hormones in Nondiabetic Men With Obesity.,Dollerup OL; Trammell SAJ; Hartmann B...,2019,The Journal of clinical endocrinology and metabolism,10.1210/jc.2019-01081,31390002,https://doi.org/10.1210/jc.2019-01081,jc.2019-01081.pdf,"Dollerup 2019b - NR in obese men, reports insulin/glucose/HOMA/HbA1c/body comp/fat+lean mass",INCLUDED_NMA,
68,32320006,NR,UNCERTAIN,no RCT signal; no placebo; no human markers,screening,Nicotinamide riboside supplementation alters body composition and skeletal muscle  acetylcarnitine concentrations in healthy obese humans.,Remie CME; Roumans KHM; Moonen MPB...,2020,The American journal of clinical nutrition,10.1093/ajcn/nqaa072,32320006,https://doi.org/10.1093/ajcn/nqaa072,1-s2.0-S0002916522008103-main.pdf,"Remie 2020 - NR DB-PC RCT in obese, reports insulin/glucose/HOMA/lipids/body comp/energy expenditure/NAD+",INCLUDED_NMA,
156,CN-02091265,NR,UNCERTAIN,no RCT signal; no placebo,abstract screen,Metabolic Cofactor Supplementation in Obese Patients With Non-Alcoholic Fatty Liver Disease,"NCT04330326,",2020,https://clinicaltrials.gov/ct2/show/NCT04330326,,02091265,https://clinicaltrials.gov/study/NCT04330326,10.1177_20406223221077958.pdf,"Multi-cofactor RCT in NAFLD, reports insulin/glucose/HOMA/lipids/NAD+ - need to verify NR is a named arm",INCLUDED_NMA,
