record_num,id,precursor,title,authors,year,journal,doi
186,CN-02181681,NR,Metabolic Cofactor Supplementation and Hydroxychloroquine Combination in Covid-19 Patients,"NCT04573153,",2020,https://clinicaltrials.gov/ct2/show/NCT04573153,
188,CN-02760069,NR,NAD-HD: a RANDOMIZED CLINICAL TRIAL OF NICOTINAMIDE RIBOSIDE IN HUNTINGTON'S DISEASE,"Pihlstrom, L; Frich, J; Van Walsem, M",2024,"Journal of neurology, neurosurgery and psychiatry",10.1136/jnnp-2024-EHDN.333
189,CN-02507251,NR,Treatment With Nicotinamide Riboside Alters Systemic Mitochondrial Metabolism Without Impacting Exercise Capacity in Patients With CKD,"Ahmadi, A; Begue, G; Valencia, AP...",2022,Journal of the American Society of Nephrology: JASN,
192,CN-02544612,NMN,Effects of supplementation of ß-nicotinamide mononucleotide (NMN) on patients with non-alcoholic fatty liver (NAFLD),"ChiCTR2200057302,",2022,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2200057302,
193,CN-02467196,NR,Nicotinamide Riboside in Ulcerative Colitis,"NCT05561738,",2022,https://clinicaltrials.gov/ct2/show/NCT05561738,
198,CN-02928861,NMN,Controlled-Ileocolonic-Release Nicotinamide (CICR-NAM): pharmacokinetics And Dose Finding,"Desaga, E; Waetzig, GH; Liu, S...",2025,Aktuelle Ernahrungsmedizin,10.1055/s-0045-1809104
199,CN-02865751,NR,"Skin-Condition-Improving Effects of a Formula Containing Ergothioneine, PQQ, and NR in Naturally Aging Asian Women: a Randomized Controlled Clinical Trial","Chen, L; Chen, L; Zhang, H...",2025,Current developments in nutrition,10.1016/j.cdnut.2025.106670
200,CN-02572901,NMN,"A Phase I, double-blind, randomised, placebo-controlled, single-ascending and multiple-ascending dose trial to evaluate the safety and pharmacokinetics of oral controlled-ileal-release nicotinic acid (CIR-NA) compared to immediate-release nicotinic acid and placebo in healthy subjects and subjects with prediabetes","DRKS00030865,",2022,https://trialsearch.who.int/Trial2.aspx?TrialID=DRKS00030865,
209,CN-02289611,NR,NR Supplementation and Exercise,"NCT04907110,",2021,https://clinicaltrials.gov/show/NCT04907110,
214,CN-02536207,NMN,NAD+ BIOLOGY AS A POTENTIAL THERAPEUTIC TARGET FOR DIABETIC NEUROPATHY,"Yoshino, J",2023,Journal of the peripheral nervous system,10.1111/jns.12527
216,CN-01966277,NR,Effect of Basis™ and High Intensity Interval Training (HIIT) on Muscle Metabolism and Exercise Performance,"NCT04050358,",2019,https://clinicaltrials.gov/show/NCT04050358,
227,CN-02679731,NR,The NADage Study: nicotinamide Riboside Replenishment Therapy Against Functional Decline in Aging,"NCT06208527,",2023,https://clinicaltrials.gov/ct2/show/NCT06208527,
